Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2020","2020","%","3.7","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2021","2021","%","3.81","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2000","2000","%","0.05","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2001","2001","%","0.09","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2002","2002","%","0.12","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2003","2003","%","0.16","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2004","2004","%","0.19","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2005","2005","%","0.23","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2006","2006","%","0.27","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2007","2007","%","0.3","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2008","2008","%","0.34","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2009","2009","%","0.36","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2010","2010","%","0.39","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2011","2011","%","0.41","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2012","2012","%","0.44","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2013","2013","%","0.46","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2014","2014","%","0.49","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2015","2015","%","0.52","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2016","2016","%","0.56","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2017","2017","%","0.31","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2018","2018","%","0.06","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2019","2019","%","0.05","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2020","2020","%","0.05","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_IND","6.4.2 Level of water stress (Industries)","2021","2021","%","0.05","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2000","2000","%","1.16","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2001","2001","%","1.23","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2002","2002","%","1.31","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
