Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1994","1994","kg/ha","52.86","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1995","1995","kg/ha","54.49","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1996","1996","kg/ha","57.62","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1997","1997","kg/ha","62.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1998","1998","kg/ha","67.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1999","1999","kg/ha","68.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2000","2000","kg/ha","73.55","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2001","2001","kg/ha","72.89","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","96.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","99.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","102.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","95.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","102.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","99.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","97.92","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","109.59","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","120.62","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","129.85","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","122.21","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","112.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","130.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","128.95","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","116.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","53.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","49.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2019","2019","kg/ha","46.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2020","2020","kg/ha","60.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","52.86","E","Estimated value",""
