Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1972","1972","t","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1972","1972","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1973","1973","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1973","1973","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1973","1973","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1973","1973","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1974","1974","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1974","1974","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1974","1974","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1974","1974","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1975","1975","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1975","1975","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1975","1975","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1975","1975","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1976","1976","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1976","1976","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1976","1976","t","2","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1976","1976","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1977","1977","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1977","1977","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1977","1977","t","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1977","1977","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1978","1978","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1978","1978","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1978","1978","t","8","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1978","1978","1000 USD","12","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1979","1979","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1979","1979","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1979","1979","t","120","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1979","1979","1000 USD","295","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1980","1980","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1980","1980","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1980","1980","t","91","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1980","1980","1000 USD","225","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1981","1981","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1981","1981","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1981","1981","t","20","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1981","1981","1000 USD","50","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1982","1982","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1982","1982","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1982","1982","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1982","1982","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1983","1983","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1983","1983","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1983","1983","t","475","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1983","1983","1000 USD","99","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1984","1984","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1984","1984","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1984","1984","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1984","1984","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1985","1985","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1985","1985","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1985","1985","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1985","1985","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1986","1986","t","0","A","Official figure",""
