Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2018","2018","t","30008.7","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2018","2018","1000 USD","62732","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2019","2019","t","43.02","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2019","2019","1000 USD","17","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2019","2019","t","44570.07","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2019","2019","1000 USD","89053","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2020","2020","t","811.05","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2020","2020","1000 USD","75","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2020","2020","t","77075.19","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2020","2020","1000 USD","146029","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2021","2021","t","394.64","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2021","2021","1000 USD","42","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2021","2021","t","96903.91","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2021","2021","1000 USD","204590","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","2022","2022","t","798.63","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","2022","2022","1000 USD","926","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","2022","2022","t","98595.12","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","2022","2022","1000 USD","179263","A","Official figure",""
